auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.6808984910836762,0.62113231053663,0.6342592592592593,0.6348531504727157,0.06257854759150709,0.22946126672295813,0.6504311692160641,,0.0,0,0,0.11385563058411993,0.4066657238429084,216,[  0   4  10  26  51 100  24   1   0   0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240910,True
0.7156207133058985,0.6861831172154977,0.5740740740740741,0.243995115995116,0.2770991862500001,0.30197552107673276,0.9079229018464301,0.26744186046511625,0.39814814814814814,86,23,0.37593366058868877,0.6139399602451512,216,[83 38 32 15 18 12  9  5  1  3],rare,EviDDIE w/o BSA,EviDDIE w/o BSA,19940419,False
0.7734053497942387,0.734698224830878,0.7453703703703703,0.6238486567124667,0.11902297750000003,0.1988307408249343,0.5878275767547524,0.15625,0.14814814814814814,32,5,0.09993963824828814,0.9022509372349916,216,[32 33 22 15 15 12 52 35  0  0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA,20230801,False
0.7485425240054869,0.7260822753430208,0.6620370370370371,0.5108619960373116,0.14606230606481485,0.22721868876520018,0.6744547005673338,0.1320754716981132,0.24537037037037038,53,7,0.2738495014877596,0.6179249909782069,216,[50 29 18 27 19 22 19 13 16  3],rare,EviDDIE w/o BSA,EviDDIE w/o BSA,20240115,False
0.7473422496570644,0.7391559559024146,0.6435185185185185,0.4986153426783112,0.19603769569444446,0.24233871556812614,0.7370872995386804,0.20270270270270271,0.3425925925925926,74,15,0.3375033944050531,0.5352822419471512,216,[65 28 21 18 15 17 14 12 17  9],rare,EviDDIE w/o BSA,EviDDIE w/o BSA,20240520,False
0.6483196159122085,0.6064723592965278,0.5879629629629629,0.38333619099072286,0.21597104513888887,0.2815031448031443,0.8083503810491003,0.3076923076923077,0.24074074074074073,52,16,0.49935837359793367,-0.027734461320453662,216,[52 37 26 18 24 24 23 11  1  0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA,20240910,False
0.7156207133058985,0.6861831172154977,0.5740740740740741,0.243995115995116,0.14315405638205347,0.2365553673431131,0.6657520371140078,,0.0,0,0,-1.8165727023525629,5.033840458888394,216,[  0   0   0  35 151  30   0   0   0   0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,19940419,True
0.7734053497942387,0.734698224830878,0.7453703703703703,0.6238486567124667,0.17532729053275692,0.21933293342182797,0.630687906002313,,0.0,0,0,-1.0596262400614511,3.3127196069941167,216,[ 0  0  0 57 60 99  0  0  0  0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20230801,True
0.7485425240054869,0.7260822753430208,0.6620370370370371,0.5108619960373116,0.11438759440520782,0.2296460842604737,0.6518323837392002,,0.0,0,0,-1.4667814528455483,4.182426803017629,216,[  0   0   0  32 111  73   0   0   0   0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240115,True
0.7473422496570644,0.7391559559024146,0.6435185185185185,0.4986153426783112,0.10487746239924406,0.22849953139564005,0.64945338547877,,0.0,0,0,-1.1641082225973647,3.565735384550772,216,[  0   0   0  37 110  67   2   0   0   0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240520,True
0.6483196159122085,0.6064723592965278,0.5879629629629629,0.38333619099072286,0.06501656067401296,0.2415070122406368,0.6759208809212199,,0.0,0,0,-1.5474251319951717,4.325221502985492,216,[  0   0   0  12 145  59   0   0   0   0],rare,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240910,True
